phrase_number,category,tags
1435,places,"Kalaupapa, Moloka'i"
1437,places,"Ka'ana, Moloka'i"
1439,places,Pu'uloa
1442,places,"Manu'akepa, Kaua'i"
1443,places,Kawahine
1443,places,"Kualoa, O'ahu"
1446,places,"Kalauonaona, Hawai'i"
1449,places,"Ka'u, Hawai'i"
1450,places,"Kapa'a, Kaua'i"
1451,places,Lele
1453,places,"Ko'iahi, O'ahu"
1455,places,"Kōhala, Hawai'i"
1456,places,"Leleiwi, Hawai'i"
1457,places,"Olowalu, Maui"
1458,places,"Puna, Hawai'i"
1459,places,"Pa'ia, Maui"
1460,places,"Moanalua, O'ahu"
1461,places,"Kaumaea, Hawai'i"
1462,places,"Niua, Maui"
1462,places,"Waihe'e, Maui"
1463,places,"Kalia, O'ahu"
1463,places,"Kīpahulu, Maui"
1464,places,"Nu'uanu, O'ahu"
1465,places,"Waikapū, Maui"
1466,places,"Nā'alehu, Hawai'i"
1467,places,"Kona, Hawai'i"
1468,places,"Nu'uanu, O'ahu"
1469,places,"Laupāhoehoe, Hawai'i"
1473,places,"'Ī-ao, Maui"
1473,places,Na-pali-kapu-o-Kaka'e
1475,places,"Hū'ehu'ewai, Hawai'i"
1475,places,"Kaimū, Hawai'i"
1476,places,"Pōka'i, O'ahu"
1476,places,"Wai'anae, O'ahu"
1481,places,"Kama'oma'o, Maui"
1482,places,"Halaaniani, Hawai'i"
1482,places,"Kamilo Beach, Hawai'i"
1483,places,Kawaihae
1485,places,"Ha'upukele, Moloka'i"
1486,places,"Mokule'ia, O'ahu"
1489,places,Maui
1490,places,"Pu'unui, O'ahu"
1491,places,"Paliuli, Hawai'i"
1493,places,Kalehuawehe
1493,places,"Waikīkī, O'ahu"
1494,places,"Pu'uhele, Maui"
1501,places,"Paka'alana, Hawai'i"
1502,places,"Kaipalaoa, Hawai'i"
1503,places,"Honokōhau, Maui"
1506,places,"Ka'u, Hawai'i"
1508,places,Kapu'ukolu
1510,places,"Mamala, O'ahu"
1511,places,"Kealakomo, Hawai'i"
1512,places,Kīlauea Crater
1513,places,"Hā'upu, Kaua'i"
1514,places,"Kama'oma'o, Maui"
1517,places,"Hanakāpī'ai, Kaua'i"
1521,places,"Ka'ena, O'ahu"
1524,places,"Wai'anae, O'ahu"
1525,places,"Noumea, New Hebrides"
1526,places,"Kā'anapali, Maui"
1528,places,"Ke'e, Kaua'i"
1528,places,"Nū'alolo, Kaua'i"
1529,places,"'Ī-ao, Maui"
1530,places,Kīlauea Crater
1531,places,"Makapu'u, O'ahu"
1532,places,"Makana, Kaua'i"
1533,places,"Molilele, Hawai'i"
1534,places,Wailuku River
1537,places,"'Ī-ao, Maui"
1539,places,"Wailau, Moloka'i"
1542,places,"Makana, Kaua'i"
1548,places,"Mololani, O'ahu"
1549,places,"Kīlauea, Hawai'i"
1549,places,"'Ola'a, Hawai'i"
1550,places,Waiohinu
1551,places,"Hilo, Hawai'i"
1552,places,"Pi'ihonua, Hawai'i"
1555,places,Kaua'i
1556,places,Kaua'i
1557,places,"Ka'u, Hawai'i"
1558,places,"Ka'u, Hawai'i"
1559,places,"Ka'u, Hawai'i"
1560,places,"Kea'au, Hawai'i"
1561,places,He'eia
1562,places,"Hilo, Hawai'i"
1563,places,"Mololani, O'ahu"
1564,places,Palawai
1565,places,"Pāhala, Hawai'i"
1566,places,"Hana, Maui"
